Sample	Tray	Weight
69	8	1.135
69	9	1.121
69	10	1.102
69	11	1.125
69	12	1.114
69	13	1.128
69	14	1.115
69	15	1.120
69	16	1.119
69	17	1.131
69	18	1.128
69	19	1.109
69	20	1.126
69	21	1.118
69	22	1.129
70	1	1.099
70	2	1.117
70	3	1.117
70	4	1.119
70	5	1.115
70	6	1.115
70	7	1.129
70	8	1.139
70	9	1.120
70	10	1.102
70	11	1.124
70	12	1.116
70	13	1.126
70	14	1.118
70	15	1.120
70	16	1.117
70	17	1.131
70	18	1.128
70	19	1.111
70	20	1.128
70	21	1.115
70	22	1.128
71	1	1.099
71	2	1.115
71	3	1.111
71	4	1.116
71	5	1.114
71	6	1.117
71	7	1.126
71	8	1.139
71	9	1.118
71	10	1.098
71	11	1.121
71	12	1.113
71	13	1.128
71	14	1.114
71	15	1.116
71	16	1.120
71	17	1.128
71	18	1.126
71	19	1.107
71	20	1.127
71	21	1.118
71	22	1.127
72	1	1.096
72	2	1.117
72	3	1.111
72	4	1.115
72	5	1.115
72	6	1.120
72	7	1.127
72	8	1.135
72	9	1.120
72	10	1.101
72	11	1.126
72	12	1.113
72	13	1.128
72	14	1.116
72	15	1.116
72	16	1.116
72	17	1.126
72	18	1.129
72	19	1.110
72	20	1.125
72	21	1.121
72	22	1.125
73	1	1.098
73	2	1.114
73	3	1.110
73	4	1.118
73	5	1.116
73	6	1.116
73	7	1.132
73	8	1.134
73	9	1.122
73	10	1.102
73	11	1.123
73	12	1.113
73	13	1.127
73	14	1.114
73	15	1.119
73	16	1.116
73	17	1.129
73	18	1.126
73	19	1.108
73	20	1.127
73	21	1.121
73	22	1.127
74	1	1.093
74	2	1.113
74	3	1.109
74	4	1.119
74	5	1.115
74	6	1.120
74	7	1.127
74	8	1.134
74	9	1.119
74	10	1.100
74	11	1.125
74	12	1.113
74	13	1.126
74	14	1.115
74	15	1.118
74	16	1.115
74	17	1.125
74	18	1.129
74	19	1.112
74	20	1.123
74	21	1.120
74	22	1.129
75	1	1.098
75	2	1.114
75	3	1.111
75	4	1.115
75	5	1.115
75	6	1.121
75	7	1.128
75	8	1.135
75	9	1.121
75	10	1.100
75	11	1.121
75	12	1.113
75	13	1.127
75	14	1.116
75	15	1.118
75	16	1.118
75	17	1.134
75	18	1.129
75	19	1.109
75	20	1.126
75	21	1.122
75	22	1.125
76	1	1.090
76	2	1.115
76	3	1.117
76	4	1.115
76	5	1.112
76	6	1.113
76	7	1.125
76	8	1.139
76	9	1.118
76	10	1.098
76	11	1.124
76	12	1.115
76	13	1.125
76	14	1.111
76	15	1.114
76	16	1.115
76	17	1.122
76	18	1.125
76	19	1.105
76	20	1.124
76	21	1.118
76	22	1.118
77	1	1.090
77	2	1.112
77	3	1.117
77	4	1.116
77	5	1.114
77	6	1.119
77	7	1.129
77	8	1.137
77	9	1.120
77	10	1.100
77	11	1.121
77	12	1.118
